christianity,1
bury,1
alive,2
eat,4
caribbees,1
wont,5
geld,1
fat,3
garcilasso,1
la,1
vega,1
peru,2
female,1
captives,1
kept,15
concubines,1
past,48
breeding,1
killed,1
eaten,1
tououpinambos,2
believed,7
merited,1
paradise,1
revenge,5
eating,6
abundance,3
enemies,1
religion,9
worship,14
saints,1
canonized,1
turks,2
lives,22
relate,4
remarkable,3
baumgarten,2
ibi,1
sc,1
prope,1
belbes,1
aegypto,1
vidimus,2
sanctum,3
unum,1
saracenicum,1
inter,1
arenarum,1
cumulos,1
ita,1
ut,5
ex,3
utero,1
matris,1
prodiit,1
nudum,1
sedentem,1
mos,1
didicimus,1
mahometistis,1
eos,2
qui,2
amentes,1
et,10
sine,2
ratione,1
sunt,3
pro,1
sanctis,1
colant,1
venerentur,1
insuper,2
cum,2
diu,1
vitam,2
egerint,1
inquinatissimam,1
voluntariam,1
demum,1
poenitentiam,1
paupertatem,1
sanctitate,1
venerandos,1
deputant,1
ejusmodi,1
vero,2
genus,1
hominum,1
libertatem,1
quandam,1
effrenem,1
habent,1
domos,1
quos,2
volunt,1
intrandi,1
edendi,1
bibendi,1
majus,1
concumbendi,1
quo,1
concubitu,1
si,2
proles,1
secuta,1
fuerit,1
sancta,1
similiter,1
habetur,1
hominibus,1
dum,3
vivunt,1
magnos,1
exhibent,1
honores,1
mortuis,1
vel,3
templa,1
monumenta,1
extruunt,1
amplissima,1
eosque,1
contingere,1
ac,2
sepelire,1
maximae,1
fortunae,1
ducunt,1
loco,3
audivimus,1
haec,1
dicta,1
dicenda,1
per,1
interpretem,1
mucrelo,1
nostro,1
ilium,1
quern,1
eo,2
publicitus,1
apprime,1
commendari,1
eum,1
esse,8
hominem,1
divinum,1
integritate,1
praecipuum,1
nec,2
faminarum,1
unquam,1
esset,1
puerorum,1
sed,1
tantummodo,1
asellarum,1
concubitor,1
mularum,1
peregr,1
73,2
piety,4
chastity,1
assures,2
inbred,1
duels,1
innocence,2
ignominy,1
omitting,1
merit,2
carefully,14
tribes,3
named,7
excepted,1
absolutely,5
neglected,7
betwixt,10
slighted,1
governed,3
living,11
reject,3
objected,3
broken,2
disown,2
shame,9
awe,1
